,title,price,date,fuel,km,power_cv,displacement_cm3,consumption,seats,owners,sliding_doors
16332,"Renault Master III Kasten L3H2 HKa 3,5t *Klima*LED*",19500,01/2022,Diésel,61977,100.0,2299,6.7,3,1,right
16333,"Mercedes-Benz V 300 AVANTGARDE EDITION L+AMG+AIRMATIC+DISTR
64.999 € (bruto)
54.621 € (neto)",64999,02/2023,Diésel,61950,174.0,1950,7.9,7,1,both-sided
16334,"Renault Master III Kasten L3H2 HKa 3,5t/Klima/PDC/",16490,10/2016,Diésel,61910,125.0,2299,7.5,3,2,right
16335,"Mercedes-Benz Sprinter 317 CDI KA Hochdach Lang MBUX-Navi-Kame
32.118 € (bruto)
26.990 € (neto)",32118,06/2023,Diésel,61900,125.0,1950,9.4,3,1,right
16336,Mercedes-Benz Sprinter 317 CDI KA LaHo PRO+9G+Klima+ParkP,41638,05/2024,Diésel,61898,125.0,1950,10.8,3,1,right
16337,Mercedes-Benz Sprinter 317 CDI Kasten Hochdach Standard,37461,06/2023,Diésel,61850,125.0,1950,9.2,3,1,right
16338,Mercedes-Benz Citan 111 CDI Kasten lang KLIMA PDC 3-SITZER EU6,13685,07/2019,Diésel,61828,81.0,1461,4.4,3,1,right
16339,Mercedes-Benz V300d 4matic Marco Polo 4Matic I Vollausstattung,81890,05/2022,Diésel,61790,174.0,1950,7.3,4,1,right
16340,Ford Transit Custom Kombi 320 L1H1 Trend 9-Sitzer,25740,06/2018,Diésel,61739,96.0,1995,,9,1,right
16341,"Volkswagen T6 Multivan 2.0 DSG AHK 2500kg Navi,Klima,SHZ",42990,11/2019,Diésel,61732,110.0,1968,,7,1,right
16342,Mercedes-Benz Sprinter 315 CDI Tourer Hochdach Standard,51880,06/2023,Diésel,61731,110.0,1950,10.8,9,1,right
16343,Mercedes-Benz V 300 CDI 4MATIC EXCLUSIVE EDITION Lang,70990,09/2020,Diésel,61717,176.0,1950,8.8,7,1,both-sided
16344,Opel Combo E Cargo Edition - AHK,14850,08/2020,Diésel,61716,75.0,1499,4.0,2,1,right
16345,Volkswagen T6 Caravelle Lang LR DSG LED ACC AHK Standhzg,39950,06/2019,Diésel,61700,110.0,1968,,8,1,right
16346,"Opel Zafira Life *Automatik*PANO*LEDER*MASSAGE*AHK*
37.880 € (bruto)",37880,02/2020,Diésel,61700,130.0,1997,7.5,7,1,right
16347,"Volkswagen T6 Transporter 2.0 TDI DSG|3-Sitzer|NAVI|PDC|BT!
29.970 € (bruto)
25.185 € (neto)",29970,09/2019,Diésel,61698,110.0,1968,7.8,3,1,right
16348,Volkswagen T6 Multivan Generation Six*BULLI*LED*LEDER*1.HD,38980,11/2017,Gasolina,61630,110.0,1984,9.2,7,1,right
16349,"Peugeot Partner L1 Premium, AUTOMATIK, KLIMA ,61620km",13990,03/2018,Diésel,61620,73.0,1560,4.1,3,2,right
16350,"Nissan NV200 1,6/Evalia Kasten Pro*1.Hand*MwSt.*Klima*",11999,11/2018,Gasolina,61611,81.0,1598,7.2,2,1,right
16351,Renault Trafic dCi 120 Combi Life,28990,11/2020,Diésel,61531,88.0,1997,,9,1,right
16352,"Renault Master dCi 150 L2H2 1 Hd Komfort NAVI Allwetter
22.990 € (bruto)
19.319 € (neto)",22990,02/2020,Diésel,61510,110.0,2299,,3,1,right
16353,"Opel Combo D Kasten L1H1 2,2t 1.6 CDTi*AHK*So.+Wi.-Rä",8970,07/2013,Diésel,61506,77.0,1598,5.4,2,2,right
16354,"Volkswagen Caddy Cargo Flügel mit Fenster, SHZ, Bluetooth",18490,01/2021,Diésel,61501,55.0,1968,4.4,2,1,right
16355,Ford Grand Tourneo Connect Grand Titanium 7 Sitze+AHK,23900,07/2019,Diésel,61500,88.0,1499,5.2,5,1,both-sided
16356,Mercedes-Benz Sprinter II Kombi 319 CDI 4x4 Klima Iglhaut Xeno,86500,11/2010,Diésel,61500,140.0,2987,10.2,9,1,right
16357,Ford Transit Custom Kasten 300 L2 105PS Trend Kamera,22990,03/2021,Diésel,61500,77.0,1995,6.5,3,1,right
16358,Mercedes-Benz T 180 d T 180 d *Progressive*Automatik*LED*Navi*,26763,07/2022,Diésel,61490,85.0,1461,5.7,5,2,right
16359,"Opel Vivaro B Kasten/Kombi Kasten L1H1 2,7t",14990,11/2017,Diésel,61490,70.0,1598,6.6,3,1,right
16360,Mercedes-Benz Vito Tourer 114/116 CDI BT Pro lang 61437 km,26179,04/2019,Diésel,61467,100.0,2143,6.4,8,1,right
16361,"Opel Vivaro B Kasten L1H1 2,9t*1xSORTIMO*KLIMA*NAVI*",17990,10/2019,Diésel,61463,88.0,1598,6.5,3,1,right
16362,Ford Transit Custom 300 L2 Mixto Trend 6-Sitze+Klima+,27950,04/2021,Diésel,61450,96.0,1995,6.5,6,1,right
16363,Mercedes-Benz Sprinter Hochraum Kombi/Kasten 314 CDI 5 Sitzer,36995,11/2019,Diésel,61444,105.0,2143,8.0,5,1,right
16364,"Mercedes-Benz Sprinter 314 CDI Mixto L2H1 AHK AC Cam Standhzg
35.581 € (bruto)
29.900 € (neto)",35581,11/2019,Diésel,61433,105.0,2143,7.7,6,1,right
16365,"Volkswagen T6.1 Multivan Generation Six DSG 150 PS ACC LED
47.790 € (bruto)",47790,07/2020,Diésel,61400,110.0,1968,6.2,7,1,right
16366,"Renault Trafic KA L2H1 2,9t Komfort/Dachgarten+Leiter",19999,10/2018,Diésel,61400,70.0,1598,--,3,1,right
16367,Mercedes-Benz Vito 116 Tourer extralang Navi Kamera 2x Klima,37890,07/2023,Diésel,61381,120.0,1950,7.2,9,1,right
16368,Peugeot Expert Kasten Premium L2*AUTOMATIK*KAMERA*S-HEFT,25999,02/2023,Diésel,61350,106.0,1997,,3,1,right
16369,Mercedes-Benz Vito 116 d Tourer-Pro-XL*Park-Paket*EDW*Kamera++,42499,07/2023,Diésel,61338,120.0,1950,7.3,9,1,right
